Hauptartikelnr;Artikelname;Hersteller;Beschreibung;Materialangaben;Geschlecht;Produktart;?rmel;Bein;Kragen;Herstellung;Taschenart;Grammatur;Material;Ursprungsland;Bildname
102.85;Paul - Men's Supersoft Organic T-Shirt;Nakedshirt;Single Jersey, Rundhalsausschnitt mit Rippstrickb?ndchen, Nackenband, Seitenn?hte, Doppelnaht an ?rmelabschluss und Bund, Medium Fit, Neutrales Gr??enetikett im Nacken ;100% Bio-Baumwolle ;Herren;T-Shirts;Kurzarm;;Rundhals;Fair & Umweltfreundlich;;200 g/m?;Bio-Baumwolle;;102.85.jpg
105.85;Coco - Women's Tank Top;Nakedshirt;"Single Jersey Hals- und Armausschnitte mit Rippstrick-Einfassung, 
Seitenn?hte, Doppelnaht am Bund, Medium Fit, Neutrales Gr??enetikett im Nacken. ";100 % Baumwolle;Damen;T-Shirts;?rmellos;;Rundhals;Fair;;155 g/m?;Baumwolle;;105.85.jpg
106.85;Mia - Women's Organic Fitted Longtop;Nakedshirt;Single Jersey, Decollet?e und Armausschnitte mit dezenter Rippstrick-Einfassung, Seitenn?hte, Doppelnaht am Bund, Extra lang und k?rpernah geschnitten, Neutrales Gr??enetikett im Nacken.;100 % Bio-Baumwolle;Damen;T-Shirts;?rmellos;;Boat-Neck;Fair & Umweltfreundlich;;155 g/m?;;;106.85.jpg
107.85;Louise - Women's Fitted Top;Nakedshirt;"Single Jersey, Hals- und Armausschnitte mit Einfassung, Seitenn?hte, Doppelnaht am Bund, K?rpernah geschnitten,  
Neutrales Gr??enetikett im Nacken. ";100 % Baumwolle;Damen;T-Shirts;?rmellos;;Boat-Neck;;;155 g/m?;Baumwolle;;107.85.jpg
110.85;Mouse - Girl's Fashion T-Shirt;Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Rippstrickkragen,  
?rmelabschluss und Bund sind gekr?uselt, Seitenn?hte,  
Neutrales Gr??enetikett im Nacken. ";100 % Baumwolle;Kinder;T-Shirts;Kurzarm;;Rundhals;Fair;;155 g/m? ;Baumwolle;;110.85.jpg
111.85;Lily - Viscose-Cotton T-Shirt;Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Rippstrick-B?ndchen,  
Nackenband, Seitenn?hte, Doppelnaht an ?rmelabschluss und Bund, Medium Fit ";70% Viskose (aus Bambus-Cellulose), 30% Bio-Baumwolle;Damen;T-Shirts;Kurzarm;;Rundhals;Fair & Umweltfreundlich;;150 g/m?;Viskose;;111.85.jpg
115.85;Eddie - Men's Organic Stretch T-Shirt;Nakedshirt;"Elasthananteil, Single Jersey, Rundhalsausschnitt mit Einfassung, 
Seitenn?hte, Doppelnaht an ?rmelabschluss und Bund, 
K?rpernaher Schnitt mit Stretch-Effekt, Neutrales Gr??enetikett im Nacken ";95% Bio-Baumwolle, 5% Elasthan;Herren;T-Shirts;Kurzarm;;Rundhals;Fair & Umweltfreundlich;;185 g/m?;Bio-Baumwollgemisch;;115.85.jpg
118.85;Wayne - Men's Organic Fitted T-Shirt;Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Rippstrickkragen, 
Nackenband, Seitenn?hte, Flatlock-Naht an ?rmelabschluss und Bund, K?rpernah geschnitten, Neutrales Gr??enetikett im Nacken. ";100 % Bio-Baumwolle;Herren;T-Shirts;Kurzarm;;Rundhals;Fair & Umweltfreundlich;;155 g/m?;Bio-Baumwolle;;118.85.jpg
119.85;Judy - Women's Premium T-Shirt;Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Einfassung, Seitenn?hte, 
Doppelnaht an ?rmelabschluss und Bund, Medium, Fit Neutrales Gr??enetikett im Nacken. 
";100% Baumwolle, (Sport Grey Melange: 60% Baumwolle, gek?mmt, 40% Polyester);Damen;T-Shirts;Kurzarm;;Rundhals;Fair;;175 g/m?;Baumwolle;;119.85.jpg
120.85;Penny - Women's Organic V-Neck T-Shirt;Nakedshirt;"Single Jersey, V-Neck-Ausschnitt mit Einfassung, Seitenn?hte,
Doppelnaht an ?rmelabschluss und Bund, Medium Fit, Neutrales Gr??enetikett im Nacken. ";100 % Bio-Baumwolle;Damen;T-Shirts;Kurzarm;;V-Ausschnitt;Fair & Umweltfreundlich;;155 g/m?;Bio-Baumwolle;;120.85.jpg
124.85;Emma - Supersoft Organic T-Shirt;Nakedshirt;Single Jersey, Rundhalsausschnitt mit Einfassung, Seitenn?hte Doppelnaht an ?rmelabschluss und Bund, Medium Fit, Neutrales Gr??enetikett im Nacken ;100 % Bio-Baumwolle;Damen;T-Shirts;Kurzarm;;Rundhals;Fair & Umweltfreundlich;;200 g/m?;Bio-Baumwolle;;124.85.jpg
128.85;Sheila - Women's Organic Deep Round Longsleeve;Nakedshirt;"Single Jersey, Tiefer Rundhalsausschnitt mit Rippstrickb?ndchen, Nackenband, Langarm, Seitenn?hte, Flatlock-Naht an ?rmelabschluss und Bund, Medium Fit 
";100 % Bio-Baumwolle;Damen;T-Shirts;Langarm;;Boat-Neck;Fair & Umweltfreundlich;;155 g/m? ;Bio-Baumwolle;;128.85.jpg
130.85;Lisa - Women's Batwing T-Shirt ;Nakedshirt;"Single Jersey, Breiter Rundhalsausschnitt mit Einfassung, 
Fledermaus-?rmel mit schmalen Rippstrick-B?ndchen, Seitenn?hte, Breiter Rippstrick-Bund, Medium Fit, Neutrales Gr??enetikett im Nacken. ";100 % Baumwolle;Damen;T-Shirts;Kurzarm;;Boat-Neck;Fair;;155 g/m?;Baumwolle;;130.85.jpg
134.85;Nancy - Women's Favourite T-Shirt;Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Rippstrickkragen, Nackenband, Seitenn?hte, Doppelnaht an ?rmelabschluss und Bund, Medium Fit 
";"100% Baumwolle, (Alle Melange Farben: 60% Baumwolle, gek?mmt, 40% Polyester)
Grammatur";Damen;T-Shirts;Kurzarm;;Rundhals;Fair;;155 g/m?;Baumwolle;;134.85.jpg
135.85;Ruby - Women's Fashion T-Shirt ;Nakedshirt;"Single Jersey 
Tiefer Rundhalsausschnitt mit Paspelierung innen, Fledermaus-?rmel mit Doppelnaht am Abschluss, Seitenn?hte,
Doppelnaht am Bund, Bund hinten l?nger geschnitten und abgerundet, weit geschnitten, neutrales Gr??enetikett im Nacken. ";100 % Baumwolle;Damen;T-Shirts;Kurzarm;;Boat-Neck;Fair;;155 g/m?;Baumwolle;;135.85.jpg
136.85;Alice - Women's Boatneck Tunic T-Shirt;Nakedshirt;"Single Jersey, Breiter Rundhalsausschnitt mit Einfassung, 
Angeschnittene ?rmel, Seitenn?hte, Doppelnaht an ?rmelabschluss und Bund, Medium Fit, Neutrales Gr??enetikett im Nacken. ";100% Baumwolle;Damen;T-Shirts;Kurzarm;;Boat-Neck;Fair;;155 g/m?;Baumwolle;;136.85.jpg
138.85;Frog - Kid's Organic Favorite T-Shirt;Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Rippstrickkragen, Nackenband, Seitenn?hte, Flatlock-Naht an ?rmelabschluss und Bund, Medium Fit, Neutrales Gr??enetikett im Nacken 
";100 % Bio-Baumwolle;Kinder;T-Shirts;Kurzarm;;Rundhals;Fair & Umweltfreundlich;;155 g/m?;Bio-Baumwolle;;138.85.jpg
139.85;Brenda - Organic Deep Round Stretch T-Shirt;Nakedshirt;"Single Jersey, Tiefer Rundhalsausschnitt mit Einfassung, 
Seitenn?hte, Doppelnaht an ?rmelabschluss und Bund, 
K?rpernaher Schnitt mit Stretch-Effekt, Neutrales Gr??enetikett im Nacken ";95% Bio-Baumwolle, 5% Elasthan;Damen;T-Shirts;Kurzarm;;Boat-Neck;Fair & Umweltfreundlich;;185 g/m?;Bio-Baumwollgemisch;;139.85.jpg
141.85;Ruth - Women's Organic Fitted T-Shirt;Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Rippstrickkragen 
Nackenband, Seitenn?hte, Flatlock-Naht an ?rmelabschluss und Bund, K?rpernah geschnitten, Neutrales Gr??enetikett im Nacken. ";100 % Bio-Baumwolle;Damen;T-Shirts;Kurzarm;;Rundhals;Fair & Umweltfreundlich;;155 g/m?;Bio-Baumwolle;;141.85.jpg
146.85;Emily - Viscose-Cotton Rolled Up Raglan T-Shirt;Nakedshirt;"Single Jersey, Breiter Rundhalsausschnitt mit Einfassung, 
Raglan-?rmel mit Flatlock-Naht und fixiertem Umschlag, 
Seitenn?hte, Doppelnaht am Bund, Medium Fit 
";70% Viskose (aus Bambus-Cellulose), 30% Bio-Baumwolle;Damen;T-Shirts;Kurzarm;;Rundhals;Fair & Umweltfreundlich;;150 g/m?;Viskose;;146.85.jpg
148.85;Bessy - Rolled Up Sleeve Tank Top;Nakedshirt;"Single Jersey, Breiter Rundhalsausschnitt mit Einfassung, Auf der Schulter umgeschlagene und fixierte ?rmel, Seitenn?hte 
Doppelnaht am Bund, Medium Fit, Neutrales Gr??enetikett im Nacken. ";100 % Baumwolle;Damen;T-Shirts;Kurzarm;;Rundhals;Fair;;155 g/m?;Baumwolle;;148.85.jpg
150.85;Larry - Men's Favourite T-Shirt ;Nakedshirt;;100 % Baumwolle, (Alle Melange Farben: 60% Baumwolle, gek?mmt, 40% Polyester);Herren;T-Shirts;Kurzarm;;Rundhals;Fair;;155 g/m?;Baumwolle;;150.85.jpg
151.85;Ben - Men's Organic Scoop Neck T-Shirt;Nakedshirt;"Single Jersey, Tiefer Rundhalsausschnitt mit Einfassung, 
Seitenn?hte, Doppelnaht an ?rmelabschluss und Bund, Medium Fit, Neutrales Gr??enetikett im Nacken ";100 % Bio-Baumwolle;Herren;T-Shirts;Kurzarm;;Rundhals;Fair & Umweltfreundlich;;155 g/m?;Bio-Baumwolle;;151.85.jpg
154.85;Susan - Women's Scoop Neck T-Shirt;Nakedshirt;"Single Jersey, U-Boot-Ausschnitt mit Einfassung, Nackenband, 
Seitenn?hte, Doppelnaht an ?rmelabschluss und Bund, Medium Fit, Neutrales Gr??enetikett im Nacken. ";100 % Baumwolle;Damen;T-Shirts;;;Boat-Neck;Fair;;175 g/m?;Baumwolle;;154.85.jpg
159.85;Helen - Women's Cap Sleeve T-Shirt;Nakedshirt;"Single Jersey 
Breiter Rundhalsausschnitt mit Einfassung, Angeschnittene ?rmel mit Top Stitch Naht, Seitenn?hte, Top Stitch Naht am Bund, 
Abgerundeter Bund hinten l?nger geschnitten, Medium Fit, 
Neutrales Gr??enetikett im Nacken. ";100 % Baumwolle;Damen;T-Shirts;Kurzarm;;Boat-Neck;Fair;;155 g/m?;Baumwolle;;159.85.jpg
161.85;Kate - Viscose-Cotton Fashion Boxy T-Shirt;Nakedshirt;"Single Jersey, Breiter Rundhalsausschnitt mit dezentem Rippstrick-B?ndchen, Seitenn?hte, Doppelnaht an ?rmelabschluss und Saum, 
Weit geschnitten mit abgerundetem Saum, Neutrales Gr??enetikett im Nacken 
";70% Viskose (aus Bambus-Cellulose), 30% Bio-Baumwolle;Damen;T-Shirts;Kurzarm;;Boat-Neck;Fair & Umweltfreundlich;;150 g/m?;Viskose;;161.85.jpg
162.85;Jack - Men's Viscose-Cotton T-Shirt;Nakedshirt;Single Jersey, Rundhalsausschnitt mit Rippstrickkragen, Nackenband, Seitenn?hte, Doppelnaht an ?rmelabschluss und Bund, Medium Fit, Neutrales Gr??enetikett im Nacken;70% Viskose (aus Bambus-Cellulose), 30% Baumwolle;Herren;T-Shirts;Kurzarm;;Rundhals;Fair & Umweltfreundlich;;150 g/m?;Viskose;;162.85.jpg
167.85;James - Men's Organic V-Neck T-Shirt;Nakedshirt;"Single Jersey, V-Neck mit Rippstrickkragen, Nackenband,  
Seitenn?hte, Doppelnaht an ?rmelabschluss und Bund, Medium Fit 
Neutrales Gr??enetikett im Nacken. ";100 % Baumwolle;Herren;T-Shirts;Kurzarm;;V-Ausschnitt;Fair;;155 g/m?;Baumwolle;;167.85.jpg
170.85;Jim - Men's Organic Longsleeve;Nakedshirt;"Single Jersey, Rundhals mit Rippstrickkragen, Nackenband, Lange ?rmel mit Rippstrick-B?ndchen, Seitenn?hte, Doppelnaht am Bund 
Medium Fit 
";100 % Bio-Baumwolle;Herren;T-Shirts;Langarm;;Rundhals;Fair & Umweltfreundlich;;155 g/m?;Bio-Baumwolle;;170.85.jpg
175.85;Max - Men's Single Jersey Vest ;Nakedshirt;155 g/m?, 100% Baumwolle, gek?mmt und ringgesponnen, Single Jersey, Hals- und Armausschnitte mit Doppeln?hten, Seitenn?hte, Doppelnaht am Bund, Medium Fit, Neutrales Gr??enetikett im Nacken.;100% Baumwolle, gek?mmt und ringgesponnen, Single Jersey;Herren;T-Shirts;?rmellos;;Rundhals;Fair;;155 g/m?;;;175.85.jpg
180.85;Cliff ? Men's Premium T-Shirt;Nakedshirt;"Single Jersey, Rundhalsausschnitt mit Rippstrickkragen 
Nackenband, Seitenn?hte, Doppelnaht an ?rmelabschluss und Bund, Medium Fit 
";100 % Baumwolle, (Sport Grey Melange: 60% Baumwolle, gek?mmt, 40% Polyester);Herren;T-Shirts;Kurzarm;;Rundhals;Fair;;175 g/m?;Baumwolle;;180.85.jpg
510.85;Grace - Women's Viscose-Cotton Pique-Polo;Nakedshirt;"American Piqu?, Kragen und ?rmelb?ndchen aus Rippstrick 
4er-Knopfleiste, Seitenn?hte, Doppelnaht am Bund, Medium Fit ";70% Viskose (aus Bambus-Cellulose), 30% Bio-Baumwolle;Damen;Poloshirts;Kurzarm;;Knopfleiste;Fair & Umweltfreundlich;;185 g/m?;Viskose;;510.85.jpg
511.85;Charlton- Men's Viscose-Cotton Pique-Polo;Nakedshirt;"American Piqu?, Kragen und ?rmelb?ndchen aus Rippstrick 
3er-Knopfleiste, Seitenn?hte, Doppelnaht am Bund, Medium Fit 
";70% Viskose (aus Bambus-Cellulose), 30% Bio-Baumwolle;Herren;Poloshirts;Kurzarm;;Knopfleiste;Fair & Umweltfreundlich;;185 g/m?;Viskose;;511.85.jpg
601.57;Baumwolltasche, lange Henkel;Jassz;140 g/qm �100% Baumwolle �Lange Tragegriffe (ca. 70 cm) �Cross Stitching an Tragegriffen f?r mehr Stabilit?t �Fombest?ndig, durch ums?umte und eingeschlagene Innenn?hte �Ma?e: 38 x 42 cm �Geeignet f?r Stick, Sieb- und Transferdruck (bereits geb?gelt).;100% Baumwolle;;Taschen;;;;Konventionell;Baumwolltaschen;140 g/m?;Baumwolle;PK;601.57.jpg
610.57;Baumwolltasche, kurze Henkel;Jassz;140 g/qm,100% Baumwolle, Kurze Tragegriffe (ca. 35 cm), Cross Stitching an Tragegriffen f?r mehr Stabilit?t, Fombest?ndig durch ums?umte und eingeschlagene Innenn?hte, Ma?e: 38 x 42 cm, Geeignet f?r Stick, Sieb- und Transferdruck (bereits geb?gelt).;100 % Baumwolle;;Taschen;;;;Konventionell;Baumwolltaschen;140 g/m?;Baumwolle;PK;610.57.jpg
612.57;Apothekertasche;Jassz;140 g/qm �100% Baumwolle �Kurze Tragegriffe (ca. 24 cm) �Cross Stitching an Tragegriffen f?r mehr Stabilit?t �Fombest?ndig, durch ums?umte und eingeschlagene Innenn?hte �Ma?e: 22 x 26 cm �Geeignet f?r Stick, Sieb- und Transferdruck (bereits geb?gelt).;100% Baumwolle;;Taschen;;;;Konventionell;Baumwolltaschen;140 g/m?;Baumwolle;PK;612.57.jpg
626.57;Zuziehbeutel klein;Jassz;140 g/qm �100% Baumwolle �Kordelzug �Innenn?hte ums?umt �Ma?e: 10 x 14 cm �Geeignet f?r Stick, Sieb- und Transferdruck (bereits geb?gelt).;100% Baumwolle;;Taschen;;;;Konventionell;Baumwolltaschen;140 g/m?;Baumwolle;PK;626.57.jpg
